CASM-OC Iowa    oxbow:  2010.000
fktrN  1.0000                                                                                   
fktrP  1.0000                                                                                         
fktrS  1.0000                                                                                         
                   Te      Th      I0         N       P       Si      depth   velocit TIS     POCe    wind    salinity
             DOY   C       C       eins/m2    mg/L    mg/L    mg/L    m       m/s     mg/L    mg/L    m/s     psu
--------------------------------------------------------------------------------------------------------------------
             128  14.800  14.800  56.207      1.049   0.863   7.270   1.200   0.011  42.500   0.342   4.340   0.000
             129  14.550  14.550  64.604      1.047   0.849   7.620   1.200   0.015  74.000   0.290   5.860   0.000
             130  14.200  14.200  48.869      1.045   0.835   7.942   1.200   0.016  69.000   0.326   6.580   0.000
             131  13.050  13.050  63.463      1.044   0.821   5.250   1.200   0.012  91.500   0.849   4.750   0.000
             132  12.150  12.150  44.140      1.042   0.807   5.980   1.200   0.017 161.500   0.770   6.650   0.000
             133  12.500  12.500  74.469      1.040   0.793   5.820   1.200   0.007 109.500   0.365   2.690   0.000
             134  13.600  13.600  69.741      1.038   0.780   5.190   1.200   0.007  81.350   0.359   2.900   0.000
             135  13.250  13.250  77.242      1.036   0.766   5.247   1.200   0.018  76.600   0.310   7.000   0.000
             136  15.050  15.050  49.684      1.035   0.753   6.490   1.200   0.013  84.350   0.501   5.350   0.000
             137  16.150  16.150  55.065      1.033   0.740   5.933   1.200   0.013  92.000   0.535   5.210   0.000
             138  15.000  15.000  83.356      1.031   0.727   9.173   1.200   0.010  71.600   0.829   4.070   0.000
             139  15.700  15.700  58.489      1.030   0.714  10.027   1.200   0.015  57.750   0.290   5.960   0.000
             140  15.600  15.600  68.762      1.028   0.701   8.955   1.200   0.008  54.850   0.183   3.020   0.000
             141  15.000  15.000  65.093      1.026   0.688   8.357   1.200   0.011  54.350   0.339   4.350   0.000
             142  14.600  14.600  79.035      1.025   0.676   7.645   1.200   0.007  44.700   0.313   2.810   0.000
             143  16.200  16.200  49.113      1.023   0.664   7.028   1.200   0.005  49.500   0.361   2.010   0.000
             144  16.200  16.200  89.879      1.021   0.651   8.006   1.200   0.007  86.500   2.724   2.890   0.000
             145  16.950  16.950  88.330      1.020   0.639   7.358   1.200   0.010  91.500   2.394   3.910   0.000
             146  17.800  17.800  77.405      1.018   0.627   7.370   1.200   0.018  66.050   0.297   7.130   0.000
             147  17.150  17.150  90.286      1.017   0.615   7.380   1.200   0.017  74.500   0.694   6.780   0.000
             148  17.100  17.100  95.423      1.015   0.604   6.070   1.200   0.013  67.500   0.904   5.130   0.000
             149  17.400  17.400  95.586      1.014   0.592   7.783   1.200   0.014 102.500   0.945   5.600   0.000
             150  18.100  18.100  78.138      1.012   0.581   9.116   1.200   0.010  91.500   0.750   3.880   0.000
             151  17.200  17.200  95.668      1.011   0.569   9.535   1.200   0.009  87.000   0.944   3.450   0.000
             152  16.550  16.550  57.348      1.009   0.558   8.188   1.200   0.020  51.000   0.538   7.860   0.000
             153  18.600  18.600  86.128      1.008   0.547   7.446   1.200   0.011  49.000   2.764   4.520   0.000
             154  20.100  20.100  76.182      1.006   0.536   7.510   1.200   0.014  69.500   1.095   5.750   0.000
             155  19.350  19.350  86.536      1.005   0.526   8.308   1.200   0.010 126.000   0.773   3.960   0.000
             156  20.500  20.500  65.583      1.003   0.515   7.668   1.200   0.009 124.000   0.662   3.590   0.000
             157  20.600  20.600  91.346      1.002   0.504   7.784   1.200   0.011 196.000   0.683   4.330   0.000
             158  20.250  20.250  50.825      1.000   0.494   6.993   1.200   0.013 175.000   0.703   5.110   0.000
             159  20.600  20.600  78.138      0.999   0.484   7.453   1.200   0.011 157.500   2.037   4.510   0.000
             160  21.000  21.000  87.596      0.998   0.474   6.020   1.200   0.011 143.000   0.838   4.330   0.000
             161  21.800  21.800  53.353      0.996   0.464   6.023   1.200   0.002 128.500   0.744   0.730   0.000
             162  21.550  21.550  64.278      0.995   0.454   8.095   1.200   0.004 112.500   0.746   1.540   0.000
             163  21.850  21.850  57.348      0.994   0.444   8.545   1.200   0.007  91.000   0.718   2.740   0.000
             164  21.200  21.200  50.825      0.992   0.435   8.495   1.200   0.006 113.500   1.407   2.450   0.000
             165  19.950  19.950  62.811      0.991   0.425   9.043   1.200   0.012 122.500   1.488   4.640   0.000
             166  20.600  20.600  91.917      0.990   0.416   8.233   1.200   0.007 103.500   1.453   2.870   0.000
             167  20.950  20.950  83.193      0.989   0.407   7.993   1.200   0.015  85.000   1.112   5.890   0.000
             168  20.700  20.700  86.862      0.987   0.398   8.393   1.200   0.008  68.000   1.595   3.110   0.000
             169  20.650  20.650  63.055      0.986   0.389  10.740   1.200   0.008  75.000   0.456   3.030   0.000
             170  20.800  20.800  66.398      0.985   0.381  11.053   1.200   0.008  68.000   0.594   3.230   0.000
             171  21.200  21.200  58.897      0.984   0.372   9.250   1.200   0.011  68.000   0.767   4.390   0.000
             172  21.400  21.400  67.458      0.983   0.363  10.153   1.200   0.012  57.500   1.272   4.890   0.000
             173  22.000  22.000  77.486      0.981   0.355   9.240   1.200   0.007  63.500   3.963   2.910   0.000
             174  21.350  21.350  75.529      0.980   0.347   9.607   1.200   0.004  68.000   1.477   1.660   0.000
             175  20.200  20.200  72.676      0.979   0.339  10.240   1.200   0.009 156.000   1.105   3.650   0.000
             176  20.100  20.100  94.363      0.978   0.331   8.583   1.200   0.015  97.000   3.812   5.940   0.000
             177  20.800  20.800  96.564      0.977   0.323   9.297   1.200   0.007 126.000   1.133   2.850   0.000
             178  20.800  20.800  90.286      0.976   0.316   8.877   1.200   0.005  88.500   1.029   1.930   0.000
             179  20.550  20.550  83.764      0.975   0.308   9.905   1.200   0.007  71.000   1.081   2.650   0.000
             180  21.200  21.200  97.787      0.974   0.301   9.163   1.200   0.008  63.300   1.169   3.320   0.000
             181  21.550  21.550  90.939      0.973   0.294  10.003   1.200   0.010  54.500   1.027   3.860   0.000
             182  20.650  20.650  96.727      0.972   0.286  10.370   1.200   0.006  45.900   0.833   2.500   0.000
             183  21.000  21.000  95.912      0.971   0.279  10.422   1.200   0.008  53.500   2.027   3.260   0.000
             184  21.400  21.400  79.687      0.970   0.273  10.975   1.200   0.012  66.000   0.667   4.690   0.000
             185  22.450  22.450  50.662      0.969   0.266  11.362   1.200   0.011  68.000   0.916   4.350   0.000
             186  22.750  22.750  83.356      0.968   0.259  10.326   1.200   0.007  53.500   8.055   2.690   0.000
             187  23.400  23.400  81.563      0.967   0.253  10.906   1.200   0.008  57.000   2.039   3.130   0.000
             188  24.750  24.750  64.930      0.966   0.247  11.274   1.200   0.006  50.000   1.207   2.340   0.000
             189  24.700  24.700  61.343      0.965   0.241  11.580   1.200   0.012  59.700   0.744   4.660   0.000
             190  24.050  24.050  85.476      0.964   0.235  11.602   1.200   0.012  79.000   0.819   4.670   0.000
             191  24.500  24.500  89.634      0.963   0.229  11.064   1.200   0.007  68.550   1.153   2.710   0.000
             192  24.350  24.350  84.742      0.962   0.223  10.438   1.200   0.004  51.600   1.302   1.670   0.000
             193  25.300  25.300  56.859      0.962   0.217  11.154   1.200   0.002  58.750   0.868   0.680   0.000
             194  25.500  25.500  84.172      0.961   0.212  11.032   1.200   0.004  54.000   0.962   1.440   0.000
             195  24.950  24.950  80.666      0.960   0.206  11.356   1.200   0.009  71.000   0.757   3.660   0.000
             196  24.800  24.800  94.200      0.959   0.201  11.510   1.200   0.008  91.000   0.756   3.220   0.000
             197  24.250  24.250  82.949      0.958   0.196  11.614   1.200   0.006 130.000   0.825   2.280   0.000
             198  24.950  24.950  84.661      0.958   0.191  11.518   1.200   0.009 136.500   0.772   3.630   0.000
             199  26.400  26.400  81.726      0.957   0.186  10.776   1.200   0.007 155.500   1.424   2.960   0.000
             200  25.650  25.650  62.811      0.956   0.182  10.904   1.200   0.009 127.500   0.751   3.650   0.000
             201  25.150  25.150  69.170      0.955   0.177  11.208   1.200   0.005 175.000   0.673   1.800   0.000
             202  24.750  24.750  62.811      0.955   0.173  10.670   1.200   0.004  98.500   1.023   1.720   0.000
             203  25.950  25.950  72.757      0.954   0.169  10.752   1.200   0.008  60.500   1.398   3.020   0.000
             204  25.300  25.300  64.278      0.953   0.165  11.838   1.200   0.009  57.500   0.955   3.670   0.000
             205  25.000  25.000  69.007      0.953   0.161  12.460   1.200   0.009  49.000   0.731   3.700   0.000
             206  25.700  25.700  86.618      0.952   0.157  13.695   1.200   0.003  62.500   0.751   1.150   0.000
             207  25.200  25.200  65.093      0.951   0.153  12.402   1.200   0.008  58.500   0.701   3.290   0.000
             208  24.900  24.900  87.025      0.951   0.149  11.938   1.200   0.006  42.500   1.024   2.460   0.000
             209  23.100  23.100  82.786      0.950   0.146  11.913   1.200   0.007  36.500   0.990   2.850   0.000
             210  22.850  22.850  74.388      0.950   0.143  11.778   1.200   0.011  37.500   1.224   4.410   0.000
